2016/01/08 14:04:08: dbpurge.cpp:2316 C:\BACKUPDB\archive
2016/01/08 14:04:19: dbpurge.cpp:1818 Sending Event: Next space check will be done at 01/09/16 22:00:00
2016/01/08 14:04:22: dbpurge.cpp:1818 Next space check will be done at 01/09/16 22:00:00
2016/01/08 14:04:22: dbpurge.cpp:2103 KillDBPurgeEvent already exists.
2016/01/08 14:04:22: dbpurge.cpp:2134 Waiting for events with timeout: 0 seconds
2016/01/08 14:04:22: dbpurge.cpp:2177 Timeout occured while waiting for events.
2016/01/08 14:04:22: dbpurge.cpp:1818 Re-reading system config
2016/01/08 14:04:22: dbpurge.cpp:1818 Next space check will be done at 01/09/16 22:00:00
2016/01/08 14:04:22: dbpurge.cpp:2316 C:\BACKUPDB\archive
2016/01/08 14:04:22: dbpurge.cpp:2134 Waiting for events with timeout: 114938 seconds
2016/01/08 15:01:28: dbpurge.cpp:2152 PurgeNowEvent is set.
2016/01/08 15:01:32: dbpurge.cpp:1818 Re-reading system config
2016/01/08 15:01:32: dbpurge.cpp:1818 Next space check will be done at 01/09/16 22:00:00
2016/01/08 15:01:32: dbpurge.cpp:2316 C:\BACKUPDB\archive
2016/01/08 15:01:32: dbpurge.cpp:1818 Got purge NOW message''.  Purging with option : DPA_BOTHupto 1450969200
2016/01/08 15:07:31: dbpurge.cpp:1888     Backing up tuples from table: dbo.setup_audit_feeder_history
2016/01/08 15:07:32: dbpurge.cpp:1915  132 tuples.
2016/01/08 15:07:32: dbpurge.cpp:1888     Backing up tuples from table: dbo.setup_audit_status
2016/01/08 15:07:32: dbpurge.cpp:1915  57 tuples.
2016/01/08 15:07:32: dbpurge.cpp:1888     Backing up tuples from table: dbo.splice_scan_history
2016/01/08 15:07:33: dbpurge.cpp:1915  70 tuples.
2016/01/08 15:07:33: dbpurge.cpp:1888     Backing up tuples from table: dbo.remote_import_history
2016/01/08 15:07:33: dbpurge.cpp:1915  0 tuples.
2016/01/08 15:07:33: dbpurge.cpp:1888     Backing up tuples from table: dbo.scribe_check_metrics_uvs
2016/01/08 15:07:33: dbpurge.cpp:1915  0 tuples.
2016/01/08 15:07:33: dbpurge.cpp:1888     Backing up tuples from table: dbo.substate_attr_rel
2016/01/08 15:07:33: dbpurge.cpp:1915  15 tuples.
2016/01/08 15:07:33: dbpurge.cpp:1888     Backing up tuples from table: dbo.system_config
2016/01/08 15:07:33: dbpurge.cpp:1915  254 tuples.
2016/01/08 15:07:33: dbpurge.cpp:1888     Backing up tuples from table: dbo.table_history
2016/01/08 15:07:35: dbpurge.cpp:1915  5698 tuples.
2016/01/08 15:07:35: dbpurge.cpp:1888     Backing up tuples from table: dbo.tracking_data
2016/01/08 15:07:35: dbpurge.cpp:1915  23 tuples.
2016/01/08 15:07:35: dbpurge.cpp:1888     Backing up tuples from table: dbo.transfer_history
2016/01/08 15:07:35: dbpurge.cpp:1915  0 tuples.
2016/01/08 15:07:35: dbpurge.cpp:1888     Backing up tuples from table: dbo.wip_info
2016/01/08 15:07:35: dbpurge.cpp:1915  76 tuples.
2016/01/08 15:07:36: dbpurge.cpp:1888     Backing up tuples from table: dbo.work_order_reservation_hdr_history
2016/01/08 15:07:36: dbpurge.cpp:1915  0 tuples.
2016/01/08 15:07:36: dbpurge.cpp:1888     Backing up tuples from table: dbo.work_order_reservation_dtl_history
2016/01/08 15:07:36: dbpurge.cpp:1915  0 tuples.
2016/01/08 15:07:36: dbpurge.cpp:1888     Backing up tuples from table: dbo.work_order_schedule_history
2016/01/08 15:07:36: dbpurge.cpp:1915  0 tuples.
2016/01/08 15:07:36: dbpurge.cpp:1888     Backing up tuples from table: dbo.work_order_schedules
2016/01/08 15:07:36: dbpurge.cpp:1915  0 tuples.
2016/01/08 15:07:36: dbpurge.cpp:1888     Backing up tuples from table: dbo.work_orders
2016/01/08 15:07:36: dbpurge.cpp:1915  0 tuples.
2016/01/08 15:07:36: dbpurge.cpp:1888     Backing up tuples from table: dbo.z_cass
2016/01/08 15:07:37: dbpurge.cpp:1915  16 tuples.
2016/01/08 15:07:37: dbpurge.cpp:1888     Backing up tuples from table: dbo.z_cass_header
2016/01/08 15:07:37: dbpurge.cpp:1915  21 tuples.
2016/01/08 15:07:37: dbpurge.cpp:1888     Backing up tuples from table: dbo.zone_layout
2016/01/08 15:07:37: dbpurge.cpp:1915  10 tuples.
2016/01/08 15:07:37: dbpurge.cpp:1888     Backing up tuples from table: dbo.zones
2016/01/08 15:07:37: dbpurge.cpp:1915  9 tuples.
2016/01/08 15:07:37: dbpurge.cpp:1888     Backing up tuples from table: dbo.zones_history
2016/01/08 15:07:37: dbpurge.cpp:1915  28 tuples.
2016/01/08 15:07:37: dbpurge.cpp:1888     Backing up tuples from table: dbo.zone_status_history
2016/01/08 15:07:37: dbpurge.cpp:1915  0 tuples.
2016/01/08 15:07:38: dbpurge.cpp:1888     Backing up tuples from table: dbo.additional_info_npm
2016/01/08 15:07:38: dbpurge.cpp:1915  0 tuples.
2016/01/08 15:07:38: dbpurge.cpp:1888     Backing up tuples from table: dbo.additional_info_npm_hdr
2016/01/08 15:07:38: dbpurge.cpp:1915  0 tuples.
2016/01/08 15:07:38: dbpurge.cpp:1888     Backing up tuples from table: dbo.linemc_trx
2016/01/08 15:07:38: dbpurge.cpp:1915  0 tuples.
2016/01/08 15:07:38: dbpurge.cpp:1888     Backing up tuples from table: dbo.line_trx
2016/01/08 15:07:38: dbpurge.cpp:1915  0 tuples.
2016/01/08 15:07:38: dbpurge.cpp:1888     Backing up tuples from table: dbo.machine_trx
2016/01/08 15:07:38: dbpurge.cpp:1915  0 tuples.
2016/01/08 15:07:39: dbpurge.cpp:1888     Backing up tuples from table: dbo.nozzle_npm
2016/01/08 15:07:40: dbpurge.cpp:1915  2820 tuples.
2016/01/08 15:07:40: dbpurge.cpp:1888     Backing up tuples from table: dbo.nozzle_npm_hdr
2016/01/08 15:07:40: dbpurge.cpp:1915  247 tuples.
2016/01/08 15:07:40: dbpurge.cpp:1888     Backing up tuples from table: dbo.npmmachineline
2016/01/08 15:07:40: dbpurge.cpp:1915  0 tuples.
2016/01/08 15:07:41: dbpurge.cpp:1888     Backing up tuples from table: dbo.pGBlockAttribute
2016/01/08 15:07:41: dbpurge.cpp:1915  0 tuples.
2016/01/08 15:07:41: dbpurge.cpp:1888     Backing up tuples from table: dbo.pgboard
2016/01/08 15:07:41: dbpurge.cpp:1915  0 tuples.
2016/01/08 15:07:41: dbpurge.cpp:1888     Backing up tuples from table: dbo.pgboardrecog
2016/01/08 15:07:41: dbpurge.cpp:1915  0 tuples.
2016/01/08 15:07:41: dbpurge.cpp:1888     Backing up tuples from table: dbo.pgchipdata
2016/01/08 15:07:41: dbpurge.cpp:1915  0 tuples.
2016/01/08 15:07:41: dbpurge.cpp:1888     Backing up tuples from table: dbo.pgcleaningcondition
2016/01/08 15:07:41: dbpurge.cpp:1915  0 tuples.
